"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"2239"	2018-04-24	8942.7213504935	9739.06161658639	8932.20613607237	9646.24476237031	2093261080.57741	152054044464.052	40.7442751235423
"2238"	2018-04-25	9655.88950152785	9767.44094153301	8746.04349884632	8869.59222649887	3044669663.65316	164194975500.542	40.8844192786573
"2237"	2018-04-26	8860.29453096359	9312.87782419721	8654.87009058533	9273.82924210167	1735465940.84194	150681787434.209	41.7805188294387
"2236"	2018-04-27	9288.27887960078	9385.85820019699	8901.81269238579	8925.94721954098	1305430679.70639	157976757314.764	41.2201295198459
"2235"	2018-04-28	8925.80382126263	9434.35597433505	8874.04349987645	9348.12175838993	1275128707.50297	151826028375.386	41.2863333283061
"2234"	2018-04-29	9340.8373320587	9554.32726794898	9173.03704428938	9411.3757043148	1117077431.42392	158904116174.949	40.5454508098622
"2233"	2018-04-30	9407.97616472953	9462.80918577057	9120.83502807743	9245.45377867895	1008428353.80138	160064499193.693	39.9096767563724
"2232"	2018-05-01	9242.63182300664	9249.285390627	8824.72049845888	9075.34589184087	1158503291.96925	157269638283.782	40.6706135785413
"2231"	2018-05-02	9077.31968288525	9262.31241267821	8979.75128329242	9229.17778481865	971274285.805534	154472636237.436	39.5920981574591
"2230"	2018-05-03	9232.20757700467	9813.15468124627	9160.55087136077	9732.99971370745	1554296594.74285	157125862598.681	39.1843137336078
"2229"	2018-05-04	9740.98539693337	9794.23728528316	9517.37714642774	9694.84774508651	1224420782.59428	165801719459.757	39.1028577170367
"2228"	2018-05-05	9684.21950860443	9963.46967330218	9669.07981167803	9820.21936371862	1244872253.88732	164855004824.576	39.2437053603756
"2227"	2018-05-06	9828.81556983754	9928.53211970965	9406.04194508693	9616.1945800461	1181090508.45362	167333323263.697	38.4719930233566
"2226"	2018-05-07	9636.18994368704	9652.86330106258	9183.9214193034	9360.24649182036	1382347413.02263	164071988389.383	38.7361717389646
"2225"	2018-05-08	9370.45916559001	9462.08145566105	9048.62345740903	9181.60284670449	1229448496.72418	159563776903.983	38.9608967422143
"2224"	2018-05-09	9180.63854161818	9374.89652847616	8968.2550749136	9313.46644515704	1162082175.8635	156349803576.222	38.7210400498242
"2223"	2018-05-10	9309.15573921785	9387.49955840265	8994.89108170459	9012.61043438681	1188625113.64183	158556424162.838	39.2716878660422
"2222"	2018-05-11	9011.91490690607	9021.09053944616	8340.51623080576	8404.84180126311	2006832750.50405	153508035870.525	39.5238653120435
"2221"	2018-05-12	8395.72251622225	8643.93731981977	8174.14765251023	8470.57131365206	1508227433.84116	143029199315.42	40.1328457279172
"2220"	2018-05-13	8476.18853766821	8758.02704280936	8320.66051095744	8683.23830564113	1049167792.56149	144415699565.132	39.8432750449484
"2219"	2018-05-14	8685.60348600996	8887.54307445008	8282.67710047794	8668.13271337964	1612527376.53306	147998007891.042	39.2454211706515
"2218"	2018-05-15	8668.28795877886	8855.2728605568	8418.47295389865	8467.58354345248	1219542518.55599	147718784457.116	39.396138279868
"2217"	2018-05-16	8470.71414700166	8497.02982092562	8096.79959053472	8342.10226078249	1170765944.24654	144370829200.192	40.1483072573403
"2216"	2018-05-17	8346.89190188089	8479.08656207249	7996.59153684664	8057.69135257661	902070162.332962	142274239882.885	39.7051431048622
"2215"	2018-05-18	8061.19501616682	8273.27120441011	7922.93300697569	8230.58658710301	826009645.060347	137419404760.321	40.2155378444471
"2214"	2018-05-19	8232.29750503423	8417.07798492048	8133.23804285934	8232.41472742155	518437954.791082	140352043096.221	40.2746535530333
"2213"	2018-05-20	8230.65820912179	8603.04936637926	8166.04970380045	8525.08454397202	587921585.389765	140338913445.58	40.0191146459435
"2212"	2018-05-21	8521.01542422239	8611.79391131059	8308.02884070877	8384.27715230207	673066012.263134	145306448039.051	39.8024226060366
"2211"	2018-05-22	8384.83142060989	8396.96473822734	7938.93232058554	7977.58640732176	795242263.141163	142999970127.483	40.2128480459743
"2210"	2018-05-23	7988.61239754735	8022.34903717806	7430.81177395597	7501.84567231438	1412478062.02023	136258793320.396	41.3155193530975
"2209"	2018-05-24	7503.77738367706	7730.62166915898	7266.22005003758	7575.86819243191	1210580400.72747	128002560106.935	42.2335787296011
"2208"	2018-05-25	7575.80049005951	7658.32159494413	7318.55926852478	7461.1761603862	866900250.041077	129247831126.354	41.018397408512
"2207"	2018-05-26	7463.04470404839	7626.2218835838	7289.56273363083	7329.63886041752	515606314.474751	127339262508.855	41.2258990916535
"2206"	2018-05-27	7329.71394037632	7407.39324603265	7225.51411216993	7335.83221055184	488582173.154496	125079315255.827	40.9239656323949
"2205"	2018-05-28	7342.38056594888	7442.51381259152	7066.36580924931	7098.58065012978	782570939.296487	125309788698.816	41.2946867946537
"2204"	2018-05-29	7099.3864964976	7525.54094104308	7043.12428369171	7457.84258104468	1019031483.48718	121175035811.593	42.8628160665102
"2203"	2018-05-30	7453.70354928988	7563.64338806472	7256.91121475085	7374.39633815553	796944514.856955	127238868147.03	41.7350866581515
"2202"	2018-05-31	7377.74700773379	7629.77289677742	7328.71770434033	7483.14481679954	764189889.276196	125957927978.483	42.1354091151002
"2201"	2018-06-01	7482.64941747271	7609.97867842252	7342.78930686105	7512.80266395203	719320982.316374	127764421892.399	41.3148062236172
"2200"	2018-06-02	7514.08022098032	7688.80904063031	7437.88932126797	7638.39422808849	617775842.436615	128315375342.453	41.1999430809034
"2199"	2018-06-03	7636.86822859848	7781.23924569347	7593.86249501821	7713.33827093696	629651265.001579	130427746521.999	40.6198106370155
"2198"	2018-06-04	7714.10516022358	7760.6092754308	7447.56984038	7482.20395894667	789880300.976599	131764504730.01	40.1164411550674
"2197"	2018-06-05	7493.80718965526	7674.03089712335	7353.32829743648	7618.40204929449	800334510.80139	128017994260.53	40.6638219050272
"2196"	2018-06-06	7615.7855567173	7696.72778447021	7480.02293712372	7644.53237074166	713437075.698173	130115767986.588	40.6289091464492
"2195"	2018-06-07	7655.03451681279	7753.03266593359	7621.68292889826	7683.8914744196	574784407.597067	130800022808.085	40.642097294312
"2194"	2018-06-08	7681.59213066122	7695.32723266983	7541.01690000441	7605.09977076325	537248937.008306	131267683974.602	40.6832632918155
"2193"	2018-06-09	7607.04912671142	7688.93166662229	7442.95238841796	7483.88894348092	433027072.361578	130007447083.847	40.8329823929836
"2192"	2018-06-10	7486.70094410481	7487.878150596	6636.93847440455	6765.87184989261	1499594642.98554	127962536554.568	41.265203462859
"2191"	2018-06-11	6755.9614062282	6910.03072109194	6632.43870984689	6875.67472790244	870123969.203849	115484581240.659	42.2258961471599
"2190"	2018-06-12	6877.49776007756	6882.07353077389	6446.15616018673	6537.1506195992	911509346.113464	117574559609.431	41.7839031063693
"2189"	2018-06-13	6539.70208091315	6622.6433095776	6124.02605183582	6297.91437073363	1252420084.29251	111811452007.315	42.645790204402
"2188"	2018-06-14	6298.53342823992	6722.92758153863	6269.01053250045	6639.61246375151	1089589400.84839	107700159824.904	42.9726696404269
"2187"	2018-06-15	6637.20104102676	6661.5283404058	6337.10466533804	6389.68740185695	704594370.100102	113503815999.031	42.0295662156053
"2186"	2018-06-16	6384.73267052694	6554.60312097603	6330.58904487603	6485.21031101978	477006643.826506	109199564309.12	42.5104466528058
"2185"	2018-06-17	6489.89367600297	6573.70562979078	6425.15590882142	6447.04569591703	401573345.455562	111010894913.415	42.5848262544199
"2184"	2018-06-18	6444.93168317245	6807.47195698644	6378.10132851424	6705.55248499951	724655682.23071	110255024634.425	42.5932838626046
"2183"	2018-06-19	6708.26904714847	6841.64207463128	6658.0797601927	6735.15223843805	587260228.275776	114773001448.325	42.9711669482998
"2182"	2018-06-20	6734.64411151965	6812.46824082224	6554.53399690307	6756.68350135444	611560599.082054	115237326430.654	42.6599659028174
"2181"	2018-06-21	6756.62679160701	6790.12755149677	6680.89232349306	6717.46630913255	484492896.619476	115627835912.728	42.6789373643582
"2180"	2018-06-22	6717.07474733397	6730.96872590632	5932.61937042831	6049.58472861492	1297483386.91063	114963656045.483	42.9454094430969
